"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"1",".A. Afflalo, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",88,173,66,147,20,55,21,27,16,57,73,39,38,16,6,3,33,24,-36
"2",".A. Afflalo, .K. Koufos, .D. Collison, .G. Temple, .D. Cousins",114,231,86,174,23,54,36,52,15,72,87,52,27,15,12,8,46,50,-7
"3",".A. Ajinca, .J. Holiday, .A. Davis, .S. Hill, .B. Hield",81,176,65,135,15,33,31,38,13,62,75,39,25,16,8,7,31,25,1
"4",".A. Aminu, .A. Crabbe, .C. McCollum, .M. Plumlee, .N. Vonleh",86,179,66,145,19,52,28,41,13,61,74,37,23,18,5,6,31,33,3
"5",".A. Aminu, .D. Lillard, .A. Crabbe, .C. McCollum, .M. Plumlee",202,462,159,363,31,118,113,135,45,121,166,84,46,32,21,22,96,103,21
"6",".A. Aminu, .D. Lillard, .C. McCollum, .J. Nurkic, .J. Layman",369,907,341,687,98,240,127,150,82,273,355,207,109,59,43,37,143,144,84
"7",".A. Aminu, .D. Lillard, .C. McCollum, .M. Plumlee, .N. Vonleh",611,1310,501,1119,152,360,156,200,151,418,569,277,180,80,55,81,231,183,-9
"8",".A. Aminu, .D. Lillard, .C. McCollum, .S. Curry, .J. Nurkic",52,139,45,97,11,31,38,46,17,38,55,20,11,5,2,6,17,33,28
"9",".A. Aminu, .D. Lillard, .C. McCollum, .S. Napier, .J. Nurkic",76,189,66,137,19,56,38,44,16,56,72,32,16,16,8,5,24,34,35
"10",".A. Aminu, .D. Lillard, .M. Harkless, .A. Crabbe, .J. Nurkic",60,137,49,102,14,33,25,37,17,38,55,31,21,8,9,4,21,34,-18
"11",".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .J. Nurkic",1258,3035,1135,2371,276,755,489,589,292,935,1227,631,322,214,170,126,520,498,212
"12",".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .M. Plumlee",545,1261,480,978,148,353,153,207,112,396,508,296,160,103,71,57,203,198,115
"13",".A. Aminu, .D. Lillard, .M. Harkless, .J. Nurkic, .J. Layman",58,142,55,107,16,38,16,20,10,36,46,34,14,7,4,4,20,21,4
"14",".A. Aminu, .D. Lillard, .M. Leonard, .C. McCollum, .M. Plumlee",175,406,141,295,50,115,74,94,22,124,146,88,45,14,16,23,79,70,4
"15",".A. Aminu, .E. Davis, .D. Lillard, .M. Leonard, .A. Crabbe",53,110,45,96,14,34,6,12,13,40,53,30,23,6,2,5,30,17,-7
"16",".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .J. Layman",51,114,47,111,4,26,16,20,21,50,71,21,9,9,6,7,11,25,26
"17",".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .R. Hood",67,155,58,122,13,41,26,33,22,49,71,29,23,17,9,5,22,29,10
"18",".A. Aminu, .M. Harkless, .A. Crabbe, .C. McCollum, .M. Plumlee",87,190,69,152,15,37,37,47,16,71,87,37,29,14,4,10,38,34,3
"19",".A. Aminu, .M. Leonard, .A. Crabbe, .C. McCollum, .S. Napier",81,180,68,131,22,48,22,25,8,51,59,35,21,12,8,9,28,28,8
"20",".A. Bogut, .B. Rush, .S. Curry, .K. Thompson, .D. Green",254,618,236,459,87,201,59,82,34,210,244,167,92,37,44,18,95,81,81
"21",".A. Bogut, .D. Williams, .W. Matthews, .H. Barnes, .D. Finney-Smith",69,149,57,116,24,55,11,13,15,51,66,40,20,7,6,6,29,20,22
"22",".A. Bogut, .D. Williams, .W. Matthews, .H. Barnes, .S. Curry",55,96,40,99,13,37,3,3,6,36,42,18,12,9,3,6,26,21,0
"23",".A. Bogut, .J. Barea, .W. Matthews, .H. Barnes, .D. Finney-Smith",51,92,37,83,8,30,10,11,9,29,38,17,9,11,2,0,17,22,13
"24",".A. Bogut, .K. Durant, .S. Curry, .K. Thompson, .D. Green",83,208,79,147,27,52,23,25,7,67,74,62,23,9,11,1,38,24,22
"25",".A. Bogut, .S. Curry, .K. Thompson, .H. Barnes, .D. Green",552,1284,501,1034,168,436,114,143,104,459,563,355,181,88,69,42,193,179,156
"26",".A. Bradley, .I. Smith, .T. Harris, .A. Drummond, .R. Bullock",154,329,133,301,29,83,34,47,37,96,133,84,38,26,18,24,53,44,-44
"27",".A. Bradley, .I. Thomas, .J. Sullinger, .J. Crowder, .K. Olynyk",97,245,88,186,19,55,50,58,24,71,95,54,25,21,12,8,50,44,49
"28",".A. Bradley, .I. Thomas, .J. Sullinger, .J. Crowder, .M. Smart",66,170,63,129,14,44,30,40,11,38,49,37,12,19,4,7,35,26,8
"29",".A. Bradley, .T. Harris, .R. Jackson, .A. Drummond, .R. Bullock",98,204,72,176,22,57,38,52,32,63,95,36,37,12,7,10,31,49,-15
"30",".A. Bradley, .T. Harris, .R. Jackson, .A. Drummond, .S. Johnson",397,851,318,685,94,231,121,158,80,243,323,194,124,66,18,46,143,142,-65
"31",".A. Brooks, .N. Mirotic, .J. Holiday, .D. McDermott, .B. Portis",59,97,36,115,11,39,14,24,17,43,60,22,12,5,6,7,14,20,-32
"32",".A. Burks, .J. Clarkson, .L. Nance Jr., .C. Osman, .C. Sexton",62,168,63,110,12,29,30,40,11,43,54,39,16,7,5,5,20,29,-5
"33",".A. Burks, .R. Hood, .C. Osman, .A. Zizic, .C. Sexton",113,223,84,212,24,63,31,43,22,81,103,50,31,15,4,10,43,50,-27
"34",".A. Crabbe, .J. Harris, .D. Russell, .J. Allen, .R. Kurucs",62,138,54,117,22,60,8,17,9,43,52,37,21,14,6,4,32,22,-13
"35",".A. Crabbe, .J. Harris, .D. Russell, .R. Hollis-Jefferson, .J. Allen",91,212,80,176,27,68,25,34,24,70,94,50,37,21,5,11,31,40,14
"36",".A. Crabbe, .S. Dinwiddie, .D. Russell, .R. Hollis-Jefferson, .J. Allen",52,114,45,95,15,41,9,13,7,38,45,27,16,6,2,3,17,14,2
"37",".A. Davis, .E. Payton, .J. Randle, .F. Jackson, .K. Williams",72,159,64,138,15,45,16,21,18,51,69,48,30,12,8,4,26,27,-21
"38",".A. Horford, .A. Baynes, .T. Rozier, .J. Brown, .J. Tatum",115,248,97,207,30,54,24,27,17,84,101,63,27,25,8,14,43,39,32
"39",".A. Horford, .A. Bradley, .I. Thomas, .J. Crowder, .K. Olynyk",82,200,71,151,27,72,31,36,13,62,75,49,22,19,8,5,31,34,29
"40",".A. Horford, .A. Bradley, .I. Thomas, .J. Crowder, .M. Smart",135,363,117,260,29,97,100,114,37,82,119,65,39,24,10,23,68,81,43
"41",".A. Horford, .G. Hayward, .K. Irving, .J. Brown, .J. Tatum",145,303,119,275,34,110,31,37,21,118,139,71,39,27,14,7,50,47,3
