"","Player","MP▼","FG","FGA","3P","3PA","2P","2PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","A.J. Hammons",163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
"2","Aaron Brooks",1083,149,369,59,159,90,210,40,51,25,61,86,145,31,9,77,121,397
"3","Aaron Gordon",4542,845,1911,236,689,609,1222,342,478,216,815,1031,425,116,101,269,283,2268
"4","Aaron Holiday",646,105,262,43,127,62,135,41,50,5,62,67,87,21,13,40,71,294
"5","Abdel Nader",1216,141,364,55,165,86,199,50,75,27,160,187,46,35,22,60,113,387
"6","Al Horford",6443,1134,2277,256,671,878,1606,280,350,318,1135,1453,959,154,250,349,402,2804
"7","Al Jefferson",1415,346,679,0,4,346,675,95,121,105,316,421,87,35,39,54,191,787
"8","Al-Farouq Aminu",4364,487,1175,221,619,266,556,209,253,209,926,1135,188,147,73,151,279,1404
"9","Alan Williams",778,145,285,0,1,145,284,76,121,97,217,314,31,32,33,44,138,366
"10","Alec Burks",2434,362,888,108,310,254,578,223,265,49,378,427,195,76,29,125,166,1055
"11","Alex Abrines",2189,249,632,178,468,71,164,83,95,44,156,200,68,75,16,58,238,759
"12","Alex Caruso",1093,127,289,37,93,90,196,72,94,35,97,132,152,47,19,84,106,363
"13","Alex Len",2939,534,1026,75,207,459,819,298,447,333,609,942,168,54,130,175,358,1441
"14","Alex Poythress",409,51,107,13,34,38,73,18,29,36,57,93,19,7,11,15,63,133
"15","Alfonzo McKinnie",1056,142,290,45,127,97,163,29,51,82,172,254,32,19,16,33,142,358
"16","Allen Crabbe",5584,777,1847,433,1093,344,754,261,315,63,635,698,257,124,68,186,441,2248
"17","Allonzo Trier",1459,232,518,52,132,180,386,179,223,31,166,197,119,28,14,116,117,695
"18","Alonzo Gee",89,3,14,0,3,3,11,5,9,4,11,15,6,5,1,4,14,11
"19","Amile Jefferson",68,10,16,0,0,10,16,7,8,6,15,21,3,3,3,1,8,27
"20","Amir Johnson",3308,432,787,49,138,383,649,150,226,288,555,843,318,112,119,177,502,1063
"21","Anderson Varejao",92,5,14,0,0,5,14,8,11,12,15,27,10,3,3,8,16,18
"22","Andre Drummond",7681,1510,2844,7,56,1503,2788,619,1162,1167,2427,3594,439,374,354,527,759,3646
"23","Andre Iguodala",5198,518,1037,145,438,373,599,166,256,149,653,802,687,191,128,177,291,1347
"24","Andre Ingram",64,8,17,5,9,3,8,3,3,1,5,6,7,3,3,3,3,24
"25","Andre Roberson",3413,302,625,53,220,249,405,59,149,173,415,588,125,139,114,81,293,716
"26","Andrew Bogut",350,35,61,0,0,35,61,5,5,38,95,133,26,7,21,27,62,75
"27","Andrew Harrison",1513,197,482,52,167,145,315,141,177,29,122,151,201,42,28,93,172,587
"28","Andrew White",209,25,73,18,49,7,24,1,4,4,30,34,6,3,1,8,12,69
"29","Andrew Wiggins",8570,1776,4079,333,975,1443,3104,821,1152,267,771,1038,533,243,129,463,499,4706
"30","Anfernee Simons",141,28,63,10,29,18,34,9,16,3,10,13,13,1,0,11,9,75
"31","Ante Žižić",1296,232,398,0,0,232,398,114,161,132,248,380,58,15,35,72,143,578
"32","Anthony Brown",159,18,50,7,27,11,23,0,0,8,25,33,8,5,1,6,15,43
"33","Anthony Davis",7285,2080,4014,143,441,1937,3573,1358,1678,533,1855,2388,549,297,495,455,459,5661
"34","Anthony Morrow",714,98,252,41,133,57,119,34,37,12,19,31,25,24,2,6,44,271
"35","Anthony Tolliver",4313,473,1082,330,810,143,272,214,275,116,539,655,213,83,62,150,344,1490
"36","Antonio Blakeney",1143,219,539,51,143,168,396,80,115,11,128,139,62,19,10,46,60,569
"37","Archie Goodwin",214,36,66,5,15,31,51,33,42,7,21,28,24,4,5,14,8,110
"38","Aron Baynes",3469,458,948,24,82,434,866,191,234,329,678,1007,182,51,124,170,491,1131
"39","Arron Afflalo",2262,250,582,89,221,161,361,105,119,13,178,191,108,25,15,63,160,694
"40","Austin Rivers",4085,573,1377,240,687,333,690,152,254,52,255,307,409,121,39,177,359,1538
"41","Avery Bradley",3338,507,1233,161,448,346,785,106,132,65,226,291,246,92,24,190,259,1281
"42","Bam Adebayo",1913,280,486,3,15,277,471,166,226,165,432,597,184,71,65,121,203,729
"43","Ben McLemore",2425,362,856,137,370,225,486,131,169,56,229,285,106,73,24,128,269,992
"44","Ben Simmons",5432,1084,1958,0,17,1084,1941,448,769,317,1039,1356,1271,252,131,552,420,2616
"45","Billy Garrett",63,11,27,0,8,11,19,4,4,0,3,3,7,1,1,2,3,26
"46","Bismack Biyombo",4071,451,847,0,1,451,846,285,482,382,900,1282,173,57,227,213,463,1187
"47","Blake Griffin",6668,1534,3308,338,957,1196,2351,993,1301,285,1205,1490,1036,150,68,560,495,4399
"48","Boban Marjanovic",1311,311,540,4,10,307,530,222,286,181,358,539,85,32,50,105,166,848
"49","Bobby Brown",238,42,118,25,75,17,43,3,4,0,13,13,25,5,0,14,11,112
"50","Bobby Portis",2942,661,1439,155,414,506,1025,197,253,268,633,901,195,85,43,177,275,1674
"51","Bogdan Bogdanović",1947,361,863,134,372,227,491,134,162,40,203,243,267,72,15,117,142,990
"52","Bojan Bogdanovic",7120,1302,2748,463,1164,839,1584,641,753,100,780,880,391,158,16,371,413,3708
"53","Bonzie Colson",98,13,39,5,21,8,18,8,9,8,22,30,3,5,1,3,3,39
"54","Boris Diaw",1283,146,327,20,81,126,246,26,35,46,112,158,170,18,9,87,83,338
"55","Brad Wanamaker",343,50,105,16,39,34,66,24,28,3,38,41,56,12,2,19,34,140
"56","Bradley Beal",8689,2084,4415,631,1678,1453,2737,936,1159,203,811,1014,1088,300,115,594,555,5735
"57","Brandan Wright",828,142,237,0,1,142,236,44,68,64,109,173,28,24,46,18,74,328
"58","Brandon Goodwin",57,6,23,2,6,4,17,9,11,1,2,3,14,0,0,3,7,23
"59","Brandon Ingram",6014,996,2176,127,386,869,1790,520,785,158,739,897,550,123,110,394,470,2639
"60","Brandon Jennings",2007,219,607,88,285,131,322,124,162,34,193,227,439,76,8,146,127,650
"61","Brandon Knight",736,99,260,41,129,58,131,27,34,10,49,59,71,21,2,30,62,266
"62","Brandon Paul",576,55,127,15,54,40,73,22,43,6,62,68,37,25,7,29,58,147
"63","Brandon Rush",1030,70,187,44,114,26,73,13,18,16,83,99,45,22,23,28,42,197
"64","Brandon Sampson",214,28,60,11,29,17,31,4,6,3,13,16,10,8,3,12,19,71
"65","Brian Roberts",416,46,122,17,44,29,78,33,39,5,34,39,52,9,1,26,18,142
"66","Briante Weber",442,44,103,5,21,39,82,19,26,16,45,61,43,30,6,23,44,112
"67","Brook Lopez",6279,1279,2751,433,1224,846,1527,518,655,228,865,1093,400,119,401,364,576,3509
"68","Bruce Brown",1449,125,314,24,93,101,221,45,60,48,137,185,91,40,36,46,178,319
"69","Bruno Caboclo",907,105,256,51,147,54,109,47,56,49,131,180,54,17,37,42,89,308
"70","Bryn Forbes",3810,570,1288,265,641,305,647,117,150,30,319,349,255,73,6,117,267,1522
"71","Buddy Hield",4639,1039,2293,454,1059,585,1234,242,274,161,558,719,360,143,55,270,350,2774
"72","C.J. Miles",2193,339,910,231,657,108,253,129,155,31,216,247,91,63,36,69,213,1038
"73","C.J. Wilcox",108,8,31,3,15,5,16,2,2,4,8,12,12,2,1,6,8,21
"74","C.J. Williams",835,104,232,27,94,77,138,13,17,13,51,64,55,37,13,25,79,248
"75","Caleb Swanigan",178,18,53,1,7,17,46,6,9,17,47,64,11,6,1,18,28,43
"76","Cameron Payne",1756,247,631,87,261,160,370,50,65,34,155,189,274,68,22,110,160,631
"77","Cameron Reynolds",259,33,78,21,51,12,27,8,9,4,27,31,13,6,2,5,26,95
"78","Caris LeVert",4164,698,1598,192,583,506,1015,285,403,111,488,599,565,173,44,281,327,1873
"79","Carmelo Anthony",5333,1123,2678,341,959,782,1719,467,580,138,807,945,321,111,90,260,427,3054
"80","Cedi Osman",3116,450,1030,162,461,288,569,167,227,64,413,477,236,82,14,146,273,1229
"81","Chandler Parsons",1862,251,638,105,308,146,330,74,95,24,220,244,167,57,21,91,150,681
"82","Channing Frye",2434,385,849,208,529,177,320,91,107,53,424,477,103,57,55,87,251,1069
"83","Chasson Randle",1042,131,315,62,162,69,153,84,105,16,72,88,131,34,5,62,130,408
"84","Cheick Diallo",1477,270,447,1,4,269,443,100,133,122,421,543,52,40,54,77,195,641
"85","Chinanu Onuaku",52,5,7,0,0,5,7,4,4,2,8,10,3,3,1,4,6,14
"86","Chris Andersen",114,9,22,0,3,9,19,10,14,9,22,31,5,5,7,5,20,28
"87","Chris Boucher",163,34,76,12,37,22,39,13,15,16,40,56,2,6,24,7,31,93
"88","Chris McCullough",170,34,74,2,15,32,59,12,19,16,28,44,6,2,7,5,15,82
"89","Chris Paul",3704,669,1518,271,734,398,784,378,424,73,505,578,930,210,32,280,287,1987
"90","Christian Wood",251,61,117,9,26,52,91,41,56,17,66,83,8,7,10,17,17,172
"91","CJ McCollum",8094,1930,4189,541,1360,1389,2829,636,736,175,717,892,764,204,105,429,542,5037
"92","Clint Capela",5834,1277,1971,0,1,1277,1970,404,695,717,1459,2176,227,136,318,284,532,2958
"93","Cody Zeller",3595,528,944,8,26,520,918,305,422,312,603,915,232,114,120,160,434,1369
"94","Cole Aldrich",531,45,86,0,0,45,86,15,22,51,107,158,25,25,23,17,85,105
"95","Collin Sexton",2605,519,1206,119,296,400,910,214,255,57,179,236,243,44,6,185,186,1371
"96","Corey Brewer",2981,342,787,72,272,270,515,146,201,101,295,396,201,172,41,123,335,902
"97","Cory Joseph",6276,781,1813,170,496,611,1317,194,259,129,648,777,846,240,53,275,412,1926
"98","Courtney Lee",5197,717,1588,237,602,480,986,213,243,92,445,537,396,182,44,167,282,1884
