"","Player","MP▼","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","TRBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PM2P","PM2PA","FT%"
"1","A.J. Hammons",163,0.294478527607362,0.128834355828221,0.0613496932515337,0.0797546012269939,0.00613496932515337,0.0245398773006135,0.220858895705521,0.171779141104294,0.049079754601227,0.104294478527607,0.257668711656442,0.0306748466257669,0.0613496932515337,0.0736196319018405,0.196319018404908,0.45
"2","Aaron Brooks",1083,0.36657433056325,0.111726685133887,0.0710987996306556,0.00831024930747922,0.0286241920590951,0.133887349953832,0.0794090489381348,0.0563250230840259,0.023084025854109,0.137580794090489,0.340720221606648,0.0544783010156971,0.146814404432133,0.0831024930747922,0.193905817174515,0.784313725490196
"3","Aaron Gordon",4542,0.499339498018494,0.0623073535887274,0.0592250110083664,0.0222369000440335,0.0255394099515632,0.0935711140466755,0.226992514310876,0.179436371642448,0.047556142668428,0.186041391457508,0.420739762219287,0.051959489211801,0.151695288419199,0.134081902245707,0.269044473800088,0.715481171548117
"4","Aaron Holiday",646,0.455108359133127,0.109907120743034,0.0619195046439628,0.0201238390092879,0.0325077399380805,0.134674922600619,0.103715170278638,0.0959752321981424,0.00773993808049536,0.162538699690402,0.405572755417957,0.0665634674922601,0.196594427244582,0.0959752321981424,0.208978328173375,0.82
"5","Abdel Nader",1216,0.318256578947368,0.0929276315789474,0.0493421052631579,0.0180921052631579,0.0287828947368421,0.0378289473684211,0.153782894736842,0.131578947368421,0.0222039473684211,0.115953947368421,0.299342105263158,0.0452302631578947,0.135690789473684,0.0707236842105263,0.163651315789474,0.666666666666667
"6","Al Horford",6443,0.43520099332609,0.0623932950488903,0.0541673133633401,0.0388018004035387,0.0239019090485799,0.148843706347975,0.225516063945367,0.176160173832066,0.0493558901133013,0.176004966630452,0.353406798075431,0.0397330436132237,0.104144032283098,0.136271923017228,0.249262765792333,0.8
"7","Al Jefferson",1415,0.556183745583039,0.134982332155477,0.0381625441696113,0.0275618374558304,0.0247349823321555,0.0614840989399293,0.297526501766784,0.223321554770318,0.0742049469964664,0.24452296819788,0.479858657243816,0,0.00282685512367491,0.24452296819788,0.477031802120141,0.785123966942149
"8","Al-Farouq Aminu",4364,0.321723189734189,0.0639321723189734,0.0346012832263978,0.0167277726856095,0.0336846929422548,0.0430797433547204,0.260082493125573,0.212190650779102,0.0478918423464711,0.111594867094409,0.269248395967003,0.0506416131989001,0.141842346471127,0.0609532538955087,0.127406049495875,0.826086956521739
"9","Alan Williams",778,0.470437017994859,0.177377892030848,0.0565552699228792,0.0424164524421594,0.0411311053984576,0.0398457583547558,0.403598971722365,0.27892030848329,0.124678663239075,0.186375321336761,0.366323907455013,0,0.0012853470437018,0.186375321336761,0.365038560411311,0.628099173553719
"10","Alec Burks",2434,0.433442892358258,0.0682004930156122,0.0513557929334429,0.0119145439605588,0.0312243221035333,0.0801150369761709,0.175431388660641,0.155299917830731,0.0201314708299096,0.148726376335251,0.364831552999178,0.0443714050944947,0.127362366474938,0.104354971240756,0.23746918652424,0.841509433962264
"11","Alex Abrines",2189,0.346733668341709,0.108725445408862,0.0264961169483783,0.00730927364093193,0.0342622201918684,0.0310644129739607,0.0913659205116492,0.0712654179990863,0.0201005025125628,0.113750571037003,0.288716308816811,0.0813156692553677,0.213796253997259,0.0324349017816355,0.0749200548195523,0.873684210526316
"12","Alex Caruso",1093,0.332113449222324,0.0969807868252516,0.0768526989935956,0.0173833485818847,0.0430009149130833,0.139066788655078,0.120768526989936,0.0887465690759378,0.0320219579139982,0.116193961573651,0.264409881061299,0.0338517840805123,0.0850869167429094,0.0823421774931382,0.17932296431839,0.765957446808511
"13","Alex Len",2939,0.490302824089826,0.121810139503232,0.0595440626063287,0.0442327322218442,0.0183735964613814,0.0571623001020755,0.320517182715209,0.207213337870024,0.113303844845185,0.181694453895883,0.349098332766247,0.0255188839741409,0.0704321197686288,0.156175569921742,0.278666212997618,0.666666666666667
"14","Alex Poythress",409,0.32518337408313,0.154034229828851,0.0366748166259169,0.0268948655256724,0.0171149144254279,0.0464547677261614,0.227383863080685,0.139364303178484,0.0880195599022005,0.124694376528117,0.26161369193154,0.0317848410757946,0.0831295843520782,0.0929095354523227,0.178484107579462,0.620689655172414
"15","Alfonzo McKinnie",1056,0.339015151515151,0.134469696969697,0.03125,0.0151515151515152,0.0179924242424242,0.0303030303030303,0.240530303030303,0.162878787878788,0.0776515151515152,0.134469696969697,0.274621212121212,0.0426136363636364,0.120265151515152,0.0918560606060606,0.154356060606061,0.568627450980392
"16","Allen Crabbe",5584,0.402578796561605,0.0789756446991404,0.0333094555873926,0.0121776504297994,0.0222063037249284,0.0460243553008596,0.125,0.11371776504298,0.0112822349570201,0.139147564469914,0.330766475644699,0.0775429799426934,0.19573782234957,0.0616045845272206,0.135028653295129,0.828571428571429
"17","Allonzo Trier",1459,0.476353666895134,0.0801919122686772,0.0795065113091158,0.00959561343385881,0.0191912268677176,0.0815627141877999,0.135023989033585,0.113776559287183,0.0212474297464016,0.159013022618232,0.355037697052776,0.0356408498971899,0.0904729266620973,0.123372172721042,0.264564770390679,0.802690582959641
"18","Alonzo Gee",89,0.123595505617978,0.157303370786517,0.0449438202247191,0.0112359550561798,0.0561797752808989,0.0674157303370786,0.168539325842697,0.123595505617978,0.0449438202247191,0.0337078651685393,0.157303370786517,0,0.0337078651685393,0.0337078651685393,0.123595505617978,0.555555555555556
"19","Amile Jefferson",68,0.397058823529412,0.117647058823529,0.0147058823529412,0.0441176470588235,0.0441176470588235,0.0441176470588235,0.308823529411765,0.220588235294118,0.0882352941176471,0.147058823529412,0.235294117647059,0,0,0.147058823529412,0.235294117647059,0.875
"20","Amir Johnson",3308,0.321342200725514,0.151753325272068,0.0535066505441354,0.0359733978234583,0.033857315598549,0.096130592503023,0.254836759371221,0.167775090689238,0.0870616686819831,0.130592503022975,0.237908101571947,0.0148125755743652,0.0417170495767836,0.115779927448609,0.196191051995163,0.663716814159292
"21","Anderson Varejao",92,0.195652173913043,0.173913043478261,0.0869565217391304,0.0326086956521739,0.0326086956521739,0.108695652173913,0.293478260869565,0.16304347826087,0.130434782608696,0.0543478260869565,0.152173913043478,0,0,0.0543478260869565,0.152173913043478,0.727272727272727
"22","Andre Drummond",7681,0.474677776331207,0.0988152584298919,0.068610857961203,0.0460877489910168,0.0486915766176279,0.057154016404114,0.467907824502018,0.315974482489259,0.151933342012759,0.196588985809139,0.370264288504101,0.000911339669313891,0.00729071735451113,0.195677646139826,0.36297357114959,0.532702237521515
"23","Andre Iguodala",5198,0.259138130050019,0.0559830704116968,0.0340515582916506,0.0246248557137361,0.0367449018853405,0.132166217776068,0.154290111581377,0.125625240477107,0.0286648711042709,0.0996537129665256,0.199499807618315,0.0278953443632166,0.0842631781454406,0.071758368603309,0.115236629472874,0.6484375
"24","Andre Ingram",64,0.375,0.046875,0.046875,0.046875,0.046875,0.109375,0.09375,0.078125,0.015625,0.125,0.265625,0.078125,0.140625,0.046875,0.125,1
"25","Andre Roberson",3413,0.209786111924993,0.0858482273659537,0.0237327864049224,0.0334016993847055,0.0407266334602989,0.0366246703779666,0.172282449457955,0.121593905654849,0.0506885438031058,0.0884852036331673,0.183123351889833,0.0155288602402578,0.0644594198652212,0.0729563433929095,0.118663932024612,0.395973154362416
"26","Andrew Bogut",350,0.214285714285714,0.177142857142857,0.0771428571428571,0.06,0.02,0.0742857142857143,0.38,0.271428571428571,0.108571428571429,0.1,0.174285714285714,0,0,0.1,0.174285714285714,1
"27","Andrew Harrison",1513,0.38797091870456,0.113681427627231,0.0614672835426305,0.0185062789160608,0.0277594183740912,0.132848645076008,0.0998017184401851,0.0806345009914078,0.0191672174487773,0.130204890945142,0.318572372769332,0.0343688037012558,0.110376734963648,0.0958360872438863,0.208195637805684,0.796610169491525
"28","Andrew White",209,0.330143540669856,0.0574162679425837,0.0382775119617225,0.00478468899521531,0.0143540669856459,0.0287081339712919,0.162679425837321,0.143540669856459,0.0191387559808612,0.119617224880383,0.349282296650718,0.0861244019138756,0.23444976076555,0.0334928229665072,0.114832535885167,0.25
"29","Andrew Wiggins",8570,0.549124854142357,0.0582263710618436,0.0540256709451575,0.0150525087514586,0.0283547257876313,0.062193698949825,0.121120186697783,0.0899649941656943,0.0311551925320887,0.207234539089848,0.475962660443407,0.0388564760793466,0.113768961493582,0.168378063010502,0.362193698949825,0.712673611111111
"30","Anfernee Simons",141,0.531914893617021,0.0638297872340425,0.0780141843971631,0,0.00709219858156028,0.0921985815602837,0.0921985815602837,0.0709219858156028,0.0212765957446809,0.198581560283688,0.446808510638298,0.0709219858156028,0.205673758865248,0.127659574468085,0.24113475177305,0.5625
"31","Ante Žižić",1296,0.445987654320988,0.11033950617284,0.0555555555555556,0.0270061728395062,0.0115740740740741,0.0447530864197531,0.29320987654321,0.191358024691358,0.101851851851852,0.179012345679012,0.307098765432099,0,0,0.179012345679012,0.307098765432099,0.708074534161491
"32","Anthony Brown",159,0.270440251572327,0.0943396226415094,0.0377358490566038,0.00628930817610063,0.0314465408805031,0.050314465408805,0.207547169811321,0.157232704402516,0.050314465408805,0.113207547169811,0.314465408805031,0.0440251572327044,0.169811320754717,0.0691823899371069,0.144654088050314,0
"33","Anthony Davis",7285,0.777076183939602,0.0630061770761839,0.0624571036376115,0.0679478380233356,0.0407687028140014,0.0753603294440631,0.327796842827728,0.254632807137955,0.0731640356897735,0.285518188057653,0.550995195607413,0.0196293754289636,0.0605353466026081,0.265888812628689,0.490459849004804,0.809296781883194
"34","Anthony Morrow",714,0.379551820728291,0.061624649859944,0.00840336134453781,0.00280112044817927,0.0336134453781513,0.0350140056022409,0.0434173669467787,0.0266106442577031,0.0168067226890756,0.137254901960784,0.352941176470588,0.0574229691876751,0.186274509803922,0.0798319327731092,0.166666666666667,0.918918918918919
"35","Anthony Tolliver",4313,0.345467192209599,0.0797588685369812,0.0347785763969395,0.014375144910735,0.0192441456063065,0.0493855784836541,0.151866450266636,0.124971017853003,0.0268954324136332,0.109668444238349,0.250869464409923,0.0765128680732669,0.187804312543473,0.0331555761650823,0.0630651518664503,0.778181818181818
"36","Antonio Blakeney",1143,0.497812773403325,0.05249343832021,0.0402449693788276,0.00874890638670166,0.0166229221347332,0.0542432195975503,0.121609798775153,0.111986001749781,0.00962379702537183,0.191601049868766,0.47156605424322,0.0446194225721785,0.125109361329834,0.146981627296588,0.346456692913386,0.695652173913043
"37","Archie Goodwin",214,0.514018691588785,0.0373831775700935,0.0654205607476635,0.0233644859813084,0.0186915887850467,0.11214953271028,0.130841121495327,0.0981308411214953,0.0327102803738318,0.168224299065421,0.308411214953271,0.0233644859813084,0.0700934579439252,0.144859813084112,0.238317757009346,0.785714285714286
"38","Aron Baynes",3469,0.326030556356299,0.141539348515422,0.0490054770827328,0.0357451715191698,0.0147016431248198,0.0524646872297492,0.290285384837129,0.195445373306428,0.0948400115307005,0.132026520611127,0.273277601614298,0.00691842029403286,0.0236379360046123,0.125108100317094,0.249639665609686,0.816239316239316
"39","Arron Afflalo",2262,0.306808134394341,0.0707338638373121,0.0278514588859416,0.00663129973474801,0.01105216622458,0.0477453580901857,0.0844385499557913,0.0786914235190097,0.00574712643678161,0.1105216622458,0.257294429708223,0.0393457117595049,0.0977011494252874,0.0711759504862953,0.159593280282935,0.882352941176471
"40","Austin Rivers",4085,0.376499388004896,0.0878824969400245,0.0433292533659731,0.00954712362301102,0.0296205630354957,0.100122399020808,0.0751529987760098,0.0624235006119951,0.0127294981640147,0.140269277845777,0.337086903304774,0.0587515299877601,0.168176254589963,0.0815177478580171,0.16891064871481,0.598425196850394
"41","Avery Bradley",3338,0.383762732174955,0.0775913720790893,0.0569203115638107,0.00718993409227082,0.0275614140203715,0.0736968244457759,0.0871779508687837,0.0677052127022169,0.0194727381665668,0.151887357699221,0.369382863990413,0.0482324745356501,0.134212103055722,0.103654883163571,0.235170760934691,0.803030303030303
"42","Bam Adebayo",1913,0.381076842655515,0.106116048092002,0.0632514375326712,0.0339780449555672,0.0371144798745426,0.0961840041819132,0.312075274438055,0.225823314166231,0.0862519602718244,0.14636696288552,0.25405122843701,0.00156821745948772,0.00784108729743858,0.144798745426032,0.246210141139571,0.734513274336283
"43","Ben McLemore",2425,0.409072164948454,0.110927835051546,0.0527835051546392,0.00989690721649484,0.0301030927835052,0.0437113402061856,0.117525773195876,0.0944329896907217,0.0230927835051546,0.149278350515464,0.352989690721649,0.0564948453608247,0.152577319587629,0.0927835051546392,0.200412371134021,0.775147928994083
"44","Ben Simmons",5432,0.48159057437408,0.077319587628866,0.101620029455081,0.0241163475699558,0.0463917525773196,0.233983799705449,0.249631811487482,0.191273932253314,0.0583578792341679,0.199558173784978,0.360456553755523,0,0.00312960235640648,0.199558173784978,0.357326951399116,0.58257477243173
"45","Billy Garrett",63,0.412698412698413,0.0476190476190476,0.0317460317460317,0.0158730158730159,0.0158730158730159,0.111111111111111,0.0476190476190476,0.0476190476190476,0,0.174603174603175,0.428571428571429,0,0.126984126984127,0.174603174603175,0.301587301587302,1
"46","Bismack Biyombo",4071,0.291574551707197,0.113731269958241,0.0523212969786293,0.0557602554654876,0.0140014738393515,0.0424957013018914,0.31491034143945,0.221075902726603,0.093834438712847,0.11078359125522,0.208056988454925,0,0.000245639891918448,0.11078359125522,0.207811348563007,0.591286307053942
"47","Blake Griffin",6668,0.659718056388722,0.0742351529694061,0.0839832033593281,0.0101979604079184,0.02249550089982,0.155368926214757,0.223455308938212,0.180713857228554,0.0427414517096581,0.23005398920216,0.496100779844031,0.0506898620275945,0.143521295740852,0.179364127174565,0.352579484103179,0.76325903151422
"48","Boban Marjanovic",1311,0.646834477498093,0.126620900076278,0.080091533180778,0.03813882532418,0.0244088482074752,0.064836003051106,0.411136536994661,0.273073989321129,0.138062547673532,0.2372234935164,0.411899313501144,0.0030511060259344,0.007627765064836,0.234172387490465,0.404271548436308,0.776223776223776
