"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"1",".A. Afflalo, .K. Koufos, .D. Collison, .D. Cousins, .B. McLemore",88,173,66,147,20,55,21,27,16,57,73,39,38,16,6,3,33,24,-36
"2",".A. Afflalo, .K. Koufos, .D. Collison, .G. Temple, .D. Cousins",114,231,86,174,23,54,36,52,15,72,87,52,27,15,12,8,46,50,-7
"3",".A. Ajinca, .J. Holiday, .A. Davis, .S. Hill, .B. Hield",81,176,65,135,15,33,31,38,13,62,75,39,25,16,8,7,31,25,1
"4",".A. Aminu, .D. Lillard, .A. Crabbe, .C. McCollum, .M. Plumlee",71,155,58,121,11,32,28,36,13,37,50,31,20,10,11,7,25,29,-13
"5",".A. Aminu, .D. Lillard, .C. McCollum, .J. Nurkic, .J. Layman",369,907,341,687,98,240,127,150,82,273,355,207,109,59,43,37,143,144,84
"6",".A. Aminu, .D. Lillard, .C. McCollum, .S. Curry, .J. Nurkic",52,139,45,97,11,31,38,46,17,38,55,20,11,5,2,6,17,33,28
"7",".A. Aminu, .D. Lillard, .C. McCollum, .S. Napier, .J. Nurkic",76,189,66,137,19,56,38,44,16,56,72,32,16,16,8,5,24,34,35
"8",".A. Aminu, .D. Lillard, .M. Harkless, .A. Crabbe, .J. Nurkic",60,137,49,102,14,33,25,37,17,38,55,31,21,8,9,4,21,34,-18
"9",".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .J. Nurkic",1258,3035,1135,2371,276,755,489,589,292,935,1227,631,322,214,170,126,520,498,212
"10",".A. Aminu, .D. Lillard, .M. Harkless, .C. McCollum, .M. Plumlee",255,578,228,460,65,162,57,77,46,184,230,142,66,41,39,24,92,81,42
"11",".A. Aminu, .D. Lillard, .M. Harkless, .J. Nurkic, .J. Layman",58,142,55,107,16,38,16,20,10,36,46,34,14,7,4,4,20,21,4
"12",".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .J. Layman",51,114,47,111,4,26,16,20,21,50,71,21,9,9,6,7,11,25,26
"13",".A. Aminu, .E. Kanter, .D. Lillard, .M. Harkless, .R. Hood",67,155,58,122,13,41,26,33,22,49,71,29,23,17,9,5,22,29,10
"14",".A. Aminu, .M. Harkless, .A. Crabbe, .C. McCollum, .M. Plumlee",87,190,69,152,15,37,37,47,16,71,87,37,29,14,4,10,38,34,3
"15",".A. Aminu, .M. Leonard, .A. Crabbe, .C. McCollum, .S. Napier",81,180,68,131,22,48,22,25,8,51,59,35,21,12,8,9,28,28,8
"16",".A. Bogut, .D. Williams, .W. Matthews, .H. Barnes, .D. Finney-Smith",69,149,57,116,24,55,11,13,15,51,66,40,20,7,6,6,29,20,22
"17",".A. Bogut, .D. Williams, .W. Matthews, .H. Barnes, .S. Curry",55,96,40,99,13,37,3,3,6,36,42,18,12,9,3,6,26,21,0
"18",".A. Bogut, .J. Barea, .W. Matthews, .H. Barnes, .D. Finney-Smith",51,92,37,83,8,30,10,11,9,29,38,17,9,11,2,0,17,22,13
"19",".A. Bogut, .K. Durant, .S. Curry, .K. Thompson, .D. Green",83,208,79,147,27,52,23,25,7,67,74,62,23,9,11,1,38,24,22
"20",".A. Bradley, .I. Smith, .T. Harris, .A. Drummond, .R. Bullock",154,329,133,301,29,83,34,47,37,96,133,84,38,26,18,24,53,44,-44
"21",".A. Bradley, .T. Harris, .R. Jackson, .A. Drummond, .R. Bullock",98,204,72,176,22,57,38,52,32,63,95,36,37,12,7,10,31,49,-15
"22",".A. Bradley, .T. Harris, .R. Jackson, .A. Drummond, .S. Johnson",397,851,318,685,94,231,121,158,80,243,323,194,124,66,18,46,143,142,-65
"23",".A. Burks, .J. Clarkson, .L. Nance Jr., .C. Osman, .C. Sexton",62,168,63,110,12,29,30,40,11,43,54,39,16,7,5,5,20,29,-5
"24",".A. Burks, .R. Hood, .C. Osman, .A. Zizic, .C. Sexton",113,223,84,212,24,63,31,43,22,81,103,50,31,15,4,10,43,50,-27
"25",".A. Crabbe, .J. Harris, .D. Russell, .J. Allen, .R. Kurucs",62,138,54,117,22,60,8,17,9,43,52,37,21,14,6,4,32,22,-13
"26",".A. Crabbe, .J. Harris, .D. Russell, .R. Hollis-Jefferson, .J. Allen",91,212,80,176,27,68,25,34,24,70,94,50,37,21,5,11,31,40,14
"27",".A. Crabbe, .S. Dinwiddie, .D. Russell, .R. Hollis-Jefferson, .J. Allen",52,114,45,95,15,41,9,13,7,38,45,27,16,6,2,3,17,14,2
"28",".A. Davis, .E. Payton, .J. Randle, .F. Jackson, .K. Williams",72,159,64,138,15,45,16,21,18,51,69,48,30,12,8,4,26,27,-21
"29",".A. Horford, .A. Baynes, .T. Rozier, .J. Brown, .J. Tatum",115,248,97,207,30,54,24,27,17,84,101,63,27,25,8,14,43,39,32
"30",".A. Horford, .A. Bradley, .I. Thomas, .J. Crowder, .K. Olynyk",82,200,71,151,27,72,31,36,13,62,75,49,22,19,8,5,31,34,29
"31",".A. Horford, .A. Bradley, .I. Thomas, .J. Crowder, .M. Smart",135,363,117,260,29,97,100,114,37,82,119,65,39,24,10,23,68,81,43
"32",".A. Horford, .G. Hayward, .K. Irving, .J. Brown, .J. Tatum",145,303,119,275,34,110,31,37,21,118,139,71,39,27,14,7,50,47,3
"33",".A. Horford, .G. Hayward, .K. Irving, .M. Morris, .J. Tatum",56,165,57,113,8,30,43,49,17,41,58,36,20,13,5,10,24,33,41
"34",".A. Horford, .G. Hayward, .K. Irving, .M. Morris, .M. Smart",53,129,50,100,15,42,14,18,9,44,53,34,21,10,3,5,23,19,19
"35",".A. Horford, .G. Hayward, .K. Irving, .M. Smart, .J. Tatum",75,207,74,146,22,59,37,45,18,44,62,47,17,11,11,3,30,37,33
"36",".A. Horford, .G. Hayward, .M. Smart, .T. Rozier, .J. Tatum",50,109,40,88,16,34,13,15,12,35,47,25,13,6,8,4,11,18,-7
"37",".A. Horford, .I. Thomas, .J. Crowder, .K. Olynyk, .M. Smart",103,247,77,181,34,90,59,64,16,61,77,51,30,13,8,7,46,51,-13
"38",".A. Horford, .J. Jerebko, .A. Bradley, .I. Thomas, .J. Crowder",53,122,45,96,13,32,19,21,9,42,51,34,12,6,5,7,16,16,15
"39",".A. Horford, .J. Jerebko, .I. Thomas, .J. Crowder, .M. Smart",56,148,48,93,16,41,36,40,7,41,48,31,16,3,6,1,20,23,26
"40",".A. Horford, .K. Irving, .A. Baynes, .J. Brown, .J. Tatum",354,788,317,625,82,180,72,93,54,280,334,177,94,47,44,24,130,103,84
"41",".A. Horford, .K. Irving, .A. Baynes, .M. Smart, .J. Brown",51,118,45,93,18,35,10,12,9,50,59,29,14,7,3,7,20,14,36
